experiment,scope,extra_docs,trial,query_mode,relevance,probe_node_id,probe_doc_id,pool_docs,pool_chunks,query_preview,mrr,first_relevant_rank,recall_at_1,recall_at_5,recall_at_10
corpus_decay,IAEA_only,0,0,first_sentence,strict,c404b7d3-1b1c-45ac-9819-fe1168f4c77b,Modernization_of_I_C_in_Nuclear_Power_Plants_199_237c222c1b,13,5922,Using star topology containing several point-to-point connections can avoid all of the typical network problems and is a,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,c404b7d3-1b1c-45ac-9819-fe1168f4c77b,Modernization_of_I_C_in_Nuclear_Power_Plants_199_237c222c1b,13,5922,Using star topology containing several point-to-point connections can avoid all of the typical network problems and is a,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,8277fb01-6269-463f-afa9-6a80cb691efa,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,5922,### 3.5. ECONOMIC DRIVEN ISSUES #### **3.5.1.,0.0,0.0,0.0,0.0,0.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,8277fb01-6269-463f-afa9-6a80cb691efa,Core_Knowledge_on_Instrumentation_and_Control_Sy_a366e319cd,13,5922,### 3.5. ECONOMIC DRIVEN ISSUES #### **3.5.1.,0.3333333333333333,3.0,0.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,a0b49b24-84fb-4521-b34f-2a3b5c73c0c3,Advanced_Surveillance_ae2b264b97,13,5922,"*FIG. 55. Acoustic impedance at each fatigue phase.*

#### *4.5.7.2. Magnetic leakage flux method*

Scanning a small sen",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,a0b49b24-84fb-4521-b34f-2a3b5c73c0c3,Advanced_Surveillance_ae2b264b97,13,5922,"*FIG. 55. Acoustic impedance at each fatigue phase.*

#### *4.5.7.2. Magnetic leakage flux method*

Scanning a small sen",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,30cf4027-fd7a-4cb9-bd56-271445e4516d,IAEA_On_line_Monitoring_for_Improving_Performanc_031d257843,13,5922,- (1) Establish calibration status of instrument.,0.3333333333333333,3.0,0.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,30cf4027-fd7a-4cb9-bd56-271445e4516d,IAEA_On_line_Monitoring_for_Improving_Performanc_031d257843,13,5922,- (1) Establish calibration status of instrument.,1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,d9abd73c-d3f9-4981-a34d-3e71e2578499,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,5922,"In practice, to calibrate for high component performance, the Metroscope method evaluates the reverse model with all the",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,relaxed_doc,d9abd73c-d3f9-4981-a34d-3e71e2578499,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,5922,"In practice, to calibrate for high component performance, the Metroscope method evaluates the reverse model with all the",1.0,1.0,1.0,1.0,1.0
corpus_decay,IAEA_only,0,0,first_sentence,strict,58d2142b-38a9-4d16-a1d3-a707358be167,Digital_I_C_and_Advanced_Digital_Technologies_fo_84e1c2a466,13,5922,|------------------------------------------------------|----------------------------------------------------------------,0.0,0.0,0.0,0.0,0.0
